id,json_body,trade_time_int,pair
297,"{""rate"":""265180.0""}",20170529130208,btc_jpy
298,"{""rate"":""264664.5""}",20170529130218,btc_jpy
299,"{""rate"":""264692.5""}",20170529130228,btc_jpy
300,"{""rate"":""264933.5""}",20170529130238,btc_jpy
301,"{""rate"":""264733.5""}",20170529130248,btc_jpy
302,"{""rate"":""265039.5""}",20170529130258,btc_jpy
303,"{""rate"":""265035.5""}",20170529130308,btc_jpy
304,"{""rate"":""264848.5""}",20170529130318,btc_jpy
305,"{""rate"":""264965.0""}",20170529130328,btc_jpy
306,"{""rate"":""264927.0""}",20170529130338,btc_jpy
307,"{""rate"":""264882.0""}",20170529130349,btc_jpy
308,"{""rate"":""264827.5""}",20170529130359,btc_jpy
309,"{""rate"":""264763.0""}",20170529130409,btc_jpy
310,"{""rate"":""264756.0""}",20170529130419,btc_jpy
311,"{""rate"":""264756.5""}",20170529130429,btc_jpy
312,"{""rate"":""264756.0""}",20170529130439,btc_jpy
313,"{""rate"":""264373.5""}",20170529130449,btc_jpy
314,"{""rate"":""264428.0""}",20170529130459,btc_jpy
315,"{""rate"":""264221.5""}",20170529130509,btc_jpy
316,"{""rate"":""264450.5""}",20170529130519,btc_jpy
317,"{""rate"":""264225.5""}",20170529130529,btc_jpy
318,"{""rate"":""264421.5""}",20170529130539,btc_jpy
319,"{""rate"":""264469.0""}",20170529130549,btc_jpy
320,"{""rate"":""264439.0""}",20170529130559,btc_jpy
321,"{""rate"":""264517.5""}",20170529130609,btc_jpy
322,"{""rate"":""264551.0""}",20170529130619,btc_jpy
323,"{""rate"":""264612.0""}",20170529130629,btc_jpy
324,"{""rate"":""264614.0""}",20170529130639,btc_jpy
325,"{""rate"":""264502.0""}",20170529130650,btc_jpy
326,"{""rate"":""264377.5""}",20170529130700,btc_jpy
327,"{""rate"":""263901.5""}",20170529130710,btc_jpy
328,"{""rate"":""263973.5""}",20170529130720,btc_jpy
329,"{""rate"":""263879.5""}",20170529130730,btc_jpy
330,"{""rate"":""263985.5""}",20170529130740,btc_jpy
331,"{""rate"":""263991.0""}",20170529130750,btc_jpy
332,"{""rate"":""263986.5""}",20170529130800,btc_jpy
333,"{""rate"":""263991.5""}",20170529130810,btc_jpy
334,"{""rate"":""264343.0""}",20170529130820,btc_jpy
335,"{""rate"":""264413.5""}",20170529130830,btc_jpy
336,"{""rate"":""264468.0""}",20170529130840,btc_jpy
337,"{""rate"":""264553.0""}",20170529130850,btc_jpy
338,"{""rate"":""264424.0""}",20170529130900,btc_jpy
339,"{""rate"":""264468.0""}",20170529130910,btc_jpy
340,"{""rate"":""264489.5""}",20170529130920,btc_jpy
341,"{""rate"":""264495.0""}",20170529130930,btc_jpy
342,"{""rate"":""264386.5""}",20170529130941,btc_jpy
343,"{""rate"":""264403.0""}",20170529130951,btc_jpy
344,"{""rate"":""264351.0""}",20170529131001,btc_jpy
345,"{""rate"":""264481.5""}",20170529131011,btc_jpy
346,"{""rate"":""264670.5""}",20170529131021,btc_jpy
347,"{""rate"":""264627.5""}",20170529131031,btc_jpy
348,"{""rate"":""264666.0""}",20170529131041,btc_jpy
349,"{""rate"":""264735.5""}",20170529131051,btc_jpy
350,"{""rate"":""264789.0""}",20170529131101,btc_jpy
351,"{""rate"":""264671.5""}",20170529131111,btc_jpy
352,"{""rate"":""264150.0""}",20170529131121,btc_jpy
353,"{""rate"":""264580.0""}",20170529131131,btc_jpy
354,"{""rate"":""264971.5""}",20170529131141,btc_jpy
355,"{""rate"":""265259.5""}",20170529131151,btc_jpy
356,"{""rate"":""265348.5""}",20170529131201,btc_jpy
357,"{""rate"":""265414.0""}",20170529131211,btc_jpy
358,"{""rate"":""265380.0""}",20170529131221,btc_jpy
359,"{""rate"":""265340.0""}",20170529131231,btc_jpy
360,"{""rate"":""265244.0""}",20170529131241,btc_jpy
361,"{""rate"":""265155.5""}",20170529131252,btc_jpy
362,"{""rate"":""264980.5""}",20170529131302,btc_jpy
363,"{""rate"":""264906.0""}",20170529131312,btc_jpy
364,"{""rate"":""264887.5""}",20170529131322,btc_jpy
365,"{""rate"":""264748.5""}",20170529131332,btc_jpy
366,"{""rate"":""264834.5""}",20170529131342,btc_jpy
367,"{""rate"":""265150.0""}",20170529131352,btc_jpy
368,"{""rate"":""265265.5""}",20170529131402,btc_jpy
369,"{""rate"":""265340.0""}",20170529131412,btc_jpy
370,"{""rate"":""265297.0""}",20170529131422,btc_jpy
371,"{""rate"":""265297.5""}",20170529131432,btc_jpy
372,"{""rate"":""265448.0""}",20170529131442,btc_jpy
373,"{""rate"":""265594.0""}",20170529131452,btc_jpy
374,"{""rate"":""265458.0""}",20170529131502,btc_jpy
375,"{""rate"":""265701.0""}",20170529131512,btc_jpy
376,"{""rate"":""265635.5""}",20170529131522,btc_jpy
377,"{""rate"":""265746.5""}",20170529131532,btc_jpy
378,"{""rate"":""265800.0""}",20170529131542,btc_jpy
379,"{""rate"":""266109.5""}",20170529131552,btc_jpy
380,"{""rate"":""265650.5""}",20170529131603,btc_jpy
381,"{""rate"":""265639.0""}",20170529131613,btc_jpy
382,"{""rate"":""265271.0""}",20170529131623,btc_jpy
383,"{""rate"":""265528.5""}",20170529131633,btc_jpy
384,"{""rate"":""265975.5""}",20170529131643,btc_jpy
385,"{""rate"":""265627.0""}",20170529131653,btc_jpy
386,"{""rate"":""265057.5""}",20170529131703,btc_jpy
387,"{""rate"":""265281.5""}",20170529131713,btc_jpy
388,"{""rate"":""265453.5""}",20170529131723,btc_jpy
389,"{""rate"":""265417.5""}",20170529131733,btc_jpy
390,"{""rate"":""265235.5""}",20170529131743,btc_jpy
391,"{""rate"":""264897.0""}",20170529131753,btc_jpy
